Authors;Author(s) ID;Title;Year;Source title;Cited by;DOI;Link;Abstract;Author Keywords;Index Keywords;Publisher;Language of Original Document;Abbreviated Source Title;Document Type
Pawlak P., Kurowska X.;"35192279000;35192111500;";The fog of border: The fragmentation of the European Union’s border policies;2012;European Homeland Security: A European Strategy in the Making?;;10.4324/9780203122457-12;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123146228&doi=10.4324%2f9780203122457-12&partnerID=40&md5=dd0fcfb0533182d9b3bc77873164e50a;"The European Union (EU) has developed a number of frameworks and instruments related to the management of its external borders, which have stimulated a substantial scholarly interest (Carrera 2007; Marenin 2010; Wolff 2010; Zapata-Barrero 2010). The number of border management tools has substantially expanded and includes simple fences and more sophisticated optical and electro-optical sensors, information technology (IT) intrusion detection systems, biometrical and patterns sensors and systems, manned and unmanned aircrafts, as well as intelligent surveillance means. Altogether, the border management security market amounts to C22 billion in the US and C10 billion in Europe. In addition, a multitude of ‘stakeholders’ has largely expanded to include not only traditional border management actors (e.g. the DG Justice and the DG Home Affairs in the European Commission, Interpol, Europol or the Customs Cooperation Working Party), but also the European Union AntiFraud Office (OLAF), the United Nations High Commissioner for Refugees (UNHCR), the Fundamental Rights Agency (FRA), the European Maritime Safety Agency (EMSA), the Global Monitoring for Environment and Security (GMES) programme, the Joint Research Centre (JRC), the European Union Satellite Centre (EUSC), the European Defence Agency (EDA) or the European Security Research and Innovation Forum (ESRIF). Operational cooperation on border management is mostly structured around the activities of the European Patrol Network and the External Borders Agency Frontex (joint operations, Focal Points, Rapid Border Intervention Teams, risk analysis, training, technical assistance to Member States), which is the focus of the next chapter. The implementation of these measures is supported through the use of burden-sharing tools like the Schengen Facility (e.g. C400 million for Romania and Bulgaria in 2007-2009) and the External Border Fund, which amounts to C1.82 billion for the period 2007-2013, the major part of which is distributed among Member States depending on their burden regarding external border controls and visa policy. Several new legislative proposals are in the making concerning, among others, the amendment of the Schengen Borders Code, setting up an Entry Exit System (EES) and a Registered Traveller Programme (RTP), as well as the start of operations of the Agency for the operational management of large-scale IT systems in the Area of Freedom, Security and Justice (AFSJ). These developments give rise to an intricate system for the defence of the EU’s realm where the construction of the border depends on its dislocation, both political and spatial. The three clusters of border policy repertoires described in this chapter, surveillance, smart borders and integrated border management, epitomise the emerging practice the EU has engaged in. They reflect the ‘pushing-out of borders’ in two distinctive ways: through technological devices and a particular relationship with the neighbour. The latter relies on attempts to prevent the border-related threat from entering the EU’s realm by shifting increasing responsibility to contain it onto the neighbour. This move is accompanied by conditionality (e.g. the pressure towards readmission tied with the promises of visa facilitation) and the projection of the EU political and social model geared at a systemic reform of the neighbour. A quote from the EU Internal Security Strategy (ISS) reflects the rationale underpinning this logic: ‘The quality of our democracy and public confidence in the Union will depend to a large extent on our ability to guarantee security and stability in Europe and to work with our neighbours and partners to address the root causes of the internal security problems faced by the EU’ (European Council 2010b: 9). Here the externally assisted reform, most explicitly in our case integrated border management and security sector reform, turn into modern state-building.1. © 2012 Selection and editorial material, Christian Kaunert, Sarah Léonard and Patryk Pawlak.";;;Taylor and Francis;English;European Homeland Security: A European Strategy in the Mak.?;Book Chapter
Pawlak P.;"35192279000;";The unintentional development of the EU's security governance beyond borders;2012;European Foreign Affairs Review;4;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032714767&partnerID=40&md5=2c5d05d907a162c7b4904695580f6629;New technologies for border control and surveillance are increasingly being applied in the field of justice and home affairs. The European Union (EU) has been particularly successful in promoting its approaches internationally despite the potentially negative impact of these technologies on civil liberties and fundamental freedoms.This article investigates why, despite a clear divergence between the EU's declarations and practice in balancing fundamental freedoms and security, the EU has faced little external criticism regarding its extraterritorial instruments. In the case of EU-US relations, the EU managed to optimize the outcome of the Passenger Name Record (PNR) negotiations by using the security-oriented US legislation as a pretext for advancing its own security-dominated agenda. At the same time, the EU managed to avoid criticism from the United States and international civil society regarding its flagship projects like the'border package'or the creation of large-scale IT systems for collecting and processing personal information. In its relations with candidate countries, the EU has managed to escape criticism due to several factors: weak data protection institutions in those countries, different priorities set by the accession process, and rather weak civil society organizations (CSOs) dependent on EU funding. In the absence of external actors challenging the EU approach, recourse to the international judicial bodies is the last resort for taking action in this regard.This article argues that inconsistency and contradiction between the EU's various policy approaches has contributed to the unintentional development of an external governance model that maximizes the EU's position internationally. © 2012 Kluwer Law International BV, The Netherlands.;;;Kluwer Law International;English;Eur. Foreign Aff. Rev.;Review
Boehm F.;"36008031200;";Information sharing in the area of freedom security and justice—towards a common standard for data exchange between agencies and EU information systems;2012;European Data Protection: In Good Health?;2;10.1007/978-94-007-2903-2_8;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949460812&doi=10.1007%2f978-94-007-2903-2_8&partnerID=40&md5=ffa1a43fb36fb76130b90b23ff6338ec;Information sharing, including the exchange of personal data, between European law enforcement and judicial actors in the Area of Freedom, Security and Justice (AFSJ) is increasingly growing. In addition, the access of law enforcement and judicial agencies (Europol, Eurojust) to data stored in the European information systems, such as the CIS, SIS (II), VIS or Eurodac seems to become an essential tool in the field of EU internal security policy. Without being limited by the former pillar constraints, and above all, in absence of a unified approach to data protection in the former third pillar, the main actors in this field increasingly exchange data between each other as well as with third states. The paper illustrates the existing and the planned instruments governing AFSJ data exchange as well as their compliance with data protection rules. After that it suggests some basic data protection standards which follow from the respect of Article 8 ECHR and would improve the respect of data protection rules in the field of information sharing between agencies and EU agencies and information system. © Springer Science+Business Media B.V. 2012.;;;Springer Netherlands;English;European Data Protection: In Good Health?;Book Chapter
Zorin U., Rijavec R., Pirc J., Gostiša B., Gorup S.;"54785731100;36714371900;55763248200;55765263300;6506825266;";Functional ITS on slovenian motorways;2012;19th Intelligent Transport Systems World Congress, ITS 2012;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896926668&partnerID=40&md5=12f8148f963d00041e0f9d07e5a4c2e2;The road transport has seen many changes in last 10 years in Slovenia. Finishing of Motorway cross (parts of EU corridors 5 and 10) the country has moved in new era of faster, more accessible road traffic. At the same time many ITS systems were installed and upgraded to ensure smooth and safe traffic flow at the increasing traffic volumes. Several new tunnels were built, most notably Šentvid motorway tunnel, which has highest daily volume of all Slovenian tunnels. New traffic safety systems which were installed are presented in the paper. Open road traffic safety and driver information systems, largest national road ITS project, are also detailed. Advances have been made in the area of road weather sensors with unified information system and in emergency call systems with gradual transition to VoIP architecture. Four regional motorway control centres with full-time staff were established with all necessary infrastructures to monitor traffic situation and react in case of dangerous events by using VMSes or deploying field units. The focus of ITS in Slovenia was therefore on motorways, but there were several successful projects also outside of this scope. The intersection system of city of Ljubljana was increased from 117 to 207 intersections under central system control. Also, with entrance of Slovenia in Schengen area in 2007, the new customs service information system was put into operation featuring cargo vehicle control and tracking at the border crossings. This paper describes these various ITS project and experience learned during their installation and operation. It also provides some ideas for future development and enhancements.;"ITS; Traffic management system; Tunnels";"Advanced driver assistance systems; Advanced traffic management systems; Control system synthesis; Information systems; Internet telephony; Management information systems; Network architecture; Roads and streets; Safety engineering; Traffic control; Tunnels; Border crossings; Driver information systems; Emergency call systems; Gradual transition; ITS; Motorway tunnels; Traffic management systems; Traffic situations; Highway planning";Intelligent Transportation Society of America;English;Intell. Transp. Syst. World Congr.;Conference Paper
Schwaiger M., Rahmun F., Bausinger O., Grell M.;"36169398500;55598377300;55597363600;55599050400;";VISPILOT - Towards European biometric visa border control;2011;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873961697&partnerID=40&md5=a64fd82003a2c23f7280b1819f0fbd29;To thoroughly prepare the expected start of the European Visa Information System (VIS) in 2011, Germany has implemented and evaluated the biometric visa border control process in a dedicated pilot project. In addition to implementing all necessary software modules for the access to the VIS, the focus of the project was set on the new feature of fingerprint biometrics. Fingerprint verification is applied to the primary position during border control where the process is optimised for fast completion, high throughput and ease of use. Extended identity checks with a quality-oriented border control process are conducted at the secondary position, where also a time-consuming fingerprint identification can be applied. Several tests were conducted during the pilot project in order to evaluate the VIS border control process. Recommendations regarding the implementation and operation of VIS related systems on the national level have been derived based on the evaluation results.;;"Border control; Ease-of-use; Evaluation results; Fingerprint biometrics; Fingerprint identification; Fingerprint verification; High throughput; Identity checks; National level; Pilot projects; Related systems; Software modules; Visa information systems; Biometrics; Process control";;English;Lect. Notes Informatics (LNI), Proc. - Series Ges. Inform. (GI);Conference Paper
Buczma S.R.;"54386571400;";ECRIS-a step leading to the establishment of a coherent European platform for exchange of information-remarks from a Polish perspective;2011;ERA Forum;;10.1007/s12027-011-0232-x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955135476&doi=10.1007%2fs12027-011-0232-x&partnerID=40&md5=9c51f94beafd26270094d521c2e9dee3;This article aims to provide the reasons why amendments were effected to the Polish legal system so as to join in the system for the exchange of information established within the European Union. It covers the most important phases in this process, beginning with the accession to European Convention on Mutual Assistance in Criminal Matters, which was adopted in Strasbourg on 20 April, 1959 and which ending in the drafting of provisions aimed at amending the Law on the National Criminal Register, which implement into the Polish legal system Council Decision 2009/316/JHA of 6 April 2009 on the establishment of the European Criminal Records Information System (ECRIS) in application of Article 11 of Framework Decision 2009/315/JHA. © 2011 ERA.;"Establishment of an efficient system to combat cross-border criminality; Exchange of information based on international instruments; National Criminal Register";;;English;ERA Forum;Article
Liu Y.;"54401291900;";Scenario study of biometric systems at borders;2011;Computer Law and Security Review;3;10.1016/j.clsr.2010.11.006;https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551563264&doi=10.1016%2fj.clsr.2010.11.006&partnerID=40&md5=0ced5ebe7566d60872c1fab763961c60;This paper examines and compares the existing privacy instruments of VIS and US-VISIT systems in addressing the specific legal issues and challenging the privacy-invasive behaviour in the world of biometrics. A biometric scenario is presented to give a vision of a future society in 5 years from now when biometric technology is more widely used. The objective here is to open up the scope of considering the potential legal risks of the use of biometrics, based upon the present passport and visa application plans in the EU and USA. © 2011 Dr Yue Liu. Published by Elsevier Ltd. All rights reserved.;"Biometric systems; Border control; Privacy; RFID; US-VISIT; Visa information system";"Biometric systems; Border control; Privacy; RFID; US-VISIT; Visa information system; Cryptography; Information systems; Biometrics";;English;Comput Law Secur. Rev.;Article
Zhang X.;"56025148300;";Eating the cake too - access for consultation of the visa information system and the uk's partial schengen opt-out;2011;European Journal of Risk Regulation;;10.1017/S1867299X0000129X;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893404402&doi=10.1017%2fS1867299X0000129X&partnerID=40&md5=0e4e9d2d979a79494a250c8312f6fe07;Council Decision 2008/633/JHA on access for consultation of the Visa Information System for the purposes of prevention, detection and investigation of terrorist offences and other serious criminal offences must be read as a development of the Schengen acquis and not merely as a measure as to police cooperation, preventing the United Kingdom and Ireland from participating in adopting the measure (author's headnote).;;;Lexxion Verlagsgesellschaft mbH;English;Eur. J. Risk Regul.;Note
Hick S., Rahmun F., Hammerschmidt E.;"23088464100;55598377300;15044239800;";Visa applications in tg biometrics for public sector applications;2011;ISSE 2010 - Securing Electronic Business Processes: Highlights of the Information Security Solutions Europe 2010 Conference;;10.1007/978-3-8348-9788-6_30;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883725404&doi=10.1007%2f978-3-8348-9788-6_30&partnerID=40&md5=4e9712e1cd844e8430dd62d3ebfb7929;"The application, issuance and usage of modern electronic identity documents that are connected to bio-metric data is only possible after a complex process of requirements and regulations has been carried out together with the establishment of a respective infrastructure. Although different governmental elD documents are connected to various requirements, the structure and approach of the modus operandi is quite similar. Therefore, synergistic effects can be used to represent the processes connected to these documents. In Germany, the Federal Office for Information Security has published a Technical Guideline ""Biometrics for Public Sector Applications"" that encloses requirements, recommendations, and best practices to design processes for the handling of the afore described documents within the context of biometrics. Not only electronic documents but also different applications have to be considered. As a result, a number of Application Profiles have been provided covering these circumstances. The description is based on experiences that were gained in several projects: e.g. the introduction of electronic passports in 2005, the preparation of new electronic national identity cards in Germany, and the experiences gained in the European BioDEV II pilot project for Visa which has been carried out to prepare the central European Visa Information System. © Vieweg+Teubner Verlag | Springer Fachmedien Wiesbaden GmbH 2011.";;"Biometrics; Security of data; Complex Processes; Electronic document; Electronic identity; Electronic passports; Public sector applications; Synergistic effect; Technical guidelines; Visa information systems; Electronics industry";Vieweg and Teubner Verlag;English;ISSE - Secur. Electron. Bus. Process.: Highlights Inf. Secur. Solutions Europe Conf.;Conference Paper
Loumos V., Christonakis G., Mpardis G., Tziova P.;"35498858500;36238854100;23005224900;36239459800;";Change management and quality of service through business process modeling: The N-VIS, a public sector project;2010;ITNG2010 - 7th International Conference on Information Technology: New Generations;;10.1109/ITNG.2010.71;https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955298562&doi=10.1109%2fITNG.2010.71&partnerID=40&md5=5aa39751851b48aa361fd81165fe0163;"Outsourcing in the Public sector has become common practice in the United States and is spreading rapidly in the European Union. When Information & Communication Technologies (ICT) are involved, outsourcing becomes rather complex. In such cases, a clear definition of the processes to be implemented and a quality assurance monitoring system are crucial factors for success. In addition, globalization, world level financial instability and the need to adjust to evolving standards and requirements, compel Governments and Public Organizations to become more adaptable and to handle changes efficiently. This last constraint has a direct impact on the design of ICT systems; Business Process Modeling becomes mandatory as the most appropriate change management mechanism. In this paper, a new methodology is presented based on Business Process Modeling. Once the model is completed, the relative program code of the final system is produced. In addition to this system, an end-to-end monitoring platform is developed to continuously search, identify and assess technical and human deficiencies. This goal is achieved by following-up the quantitative and qualitative characteristics of the processes, through the creation and management of adequate Key Performance Indicators (KPIs). Once the technical problems are suitably addressed, the focus moves to human skills and competency. In this case, clearly defined training needs can be covered adequately and the system can be used optimally. This new methodology has already been tested successfully on a simple Bank application, a short description of which is included in this paper. The next step is to apply the methodology on N-VIS, the Greek National Visa Information System that is responsible for the exchange of visa application data between the Greek Authorities and the Schengen Member States. © 2010 IEEE.";"BPEL; BPMN; KPI; Visa";"Application data; Business process modeling; Change management; Communication technologies; Direct impact; End-to-end monitoring; European Union; Human skills; Key performance indicators; Member state; Monitoring system; Program code; Public organizations; Public sector; Public-sector projects; Technical problem; Visa information systems; Information technology; Machine design; Outsourcing; Quality assurance; Quality control; Quality of service; Total quality management; Benchmarking";;English;ITNG - Int. Conf. Inf. Technol.: New Generations;Conference Paper
O’Neill M.;"25028445200;";The Issue of Data Protection and Data Security in the (Pre-Lisbon) EU Third Pillar;2010;Journal of Contemporary European Research;8;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859350694&partnerID=40&md5=d29a50f00ef7dcd8a4e0f57db8a92ccf;The key functional operability in the pre-Lisbon PJCCM pillar1 of the EU is the exchange ofintelligence and information amongst the law enforcement bodies of the EU. The twin issues ofdata protection and data security within what was the EU’s third pillar legal framework thereforecome to the fore. With the Lisbon Treaty reform of the EU, and the increased role of the Commissionin PJCCM policy areas, and the integration of the PJCCM provisions with what have traditionallybeen the pillar I activities of Frontex, the opportunity for streamlining the data protection and datasecurity provisions of the law enforcement bodies of the post-Lisbon EU arises. This is recognisedby the Commission in their drafting of an amending regulation for Frontex2, when they say thatthey would prefer “to return to the question of personal data in the context of the overall strategyfor information exchange to be presented later this year and also taking into account the reflectionto be carried out on how to further develop cooperation between agencies in the justice and homeaffairs field as requested by the Stockholm programme.”3 The focus of the literature published onthis topic, has for the most part, been on the data protection provisions in Pillar I, EC. While thefocus of research has recently sifted to the previously Pillar III PJCCM provisions on data protection,4a more focused analysis of the interlocking issues of data protection and data security needs to bemade in the context of the law enforcement bodies, particularly with regard to those which werebased in the pre-Lisbon third pillar. This paper will make a contribution to that debate, arguing thata review of both the data protection and security provision post-Lisbon is required, not only inorder to reinforce individual rights, but also inter-agency operability in combating cross-border EUcrime. The EC’s provisions on data protection, as enshrined by Directive 95/46/EC, do not apply tothe legal frameworks covering developments within the third pillar of the EU. Even CouncilFramework Decision 2008/977/JHA, which is supposed to cover data protection provisions withinPJCCM expressly states that its provisions do not apply to “Europol, Eurojust, the SchengenInformation System (SIS)” or to the Customs Information System (CIS). In addition, the post Treaty ofPrüm provisions covering the sharing of DNA profiles, dactyloscopic data and vehicle registrationdata pursuant to Council Decision 2008/615/JHA, are not to be covered by the provisions of the2008 Framework Decision. As stated by Hijmans and Scirocco, the regime is “best defined as apatchwork of data protection regimes”, with “no legal framework which is stable and unequivocal,like Directive 95/46/EC in the First pillar”.5 Data security issues are also key to the sharing of data in organised crime or counterterrorism situations. This article will critically analyse the current legalframework for data protection and security within the third pillar of the EU. © 2010, Journal of Contemporary European Research. All Rights Reserved.;"Data protection; Data security; Eurojust; Europol; PJCCM; Schengen Prüm";;University Association for Contemporary European Studies;English;J. Contemp. Eur. Res.;Article
Pimenidis E.;"25636407200;";Digital identity management;2010;Handbook of Electronic Security and Digital Forensics;;10.1142/9789812837042_0015;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970979631&doi=10.1142%2f9789812837042_0015&partnerID=40&md5=6e467c1aba8325fb775b092a62e44895;Organisations are currently managing sensitive information of millions of individuals on an online basis. Increasingly people have little control over their own information and this is the real challenge facing organisations and governments in an era of exponential creation, networking and duplication of data, most of which is identifiable in nature. Traditionally, identity management has been considered as the process of managing information for a person's interaction with an organization's information systems and assets. Nowadays, there is a key fundamental business shift away from the traditional approach in which a user's identity was managed manually on a system-by-system basis. Federated identity management, which supports multiple entities connected within a circle of trust, is one of the major initiatives growing out of Web services that will provide substantial benefits to corporations and consumers. Federated identity management (IDM) refers to the ability to establish trust relationships between various security domains to enable the passing of authentication, authorization and privacy assertions. This is a key aspect of identity management in the context of business-to-business integration, typically when Web services technology is used. The European Union is actively pursuing an interoperable pan-European e-IDM since 2006. Under this initiative, EU governments have agreed to facilitate, as a matter of high priority, the establishment for mutual recognition of national electronic identities for public administration Web sites and services. The key reason for promoting the interoperability of e-identification is the growth of demand for cross-border services, which needs to be met by equivalent crossborder framework of cooperation. Once this initiative reaches a good level of success and an acceptable maturity level, it could possibly prove the model for a worldwide interoperable e-identification system, increasing the efficiency of transactions, and significantly enhancing the effectiveness of border control systems. © 2010 by World Scientific Publishing Co. Pte. Ltd. All rights reserved.;;"Authentication; Electronic document identification systems; Identification (control systems); Interoperability; Knowledge based systems; Public administration; Web services; Websites; Business to business integration; Cross-border services; Digital identity management; Federated identity managements; Identity management; Sensitive informations; Traditional approaches; Web Services technologies; Information management";World Scientific Publishing Co.;English;Handb. of Electronic Security and Digital Forensics;Book Chapter
Besters M., Brom F.W.A.;"36634029500;6603118585;";'Greedy' information technology: The digitalization of the European migration policy;2010;European Journal of Migration and Law;22;10.1163/157181610X535782;https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649298081&doi=10.1163%2f157181610X535782&partnerID=40&md5=7dc4e76a977856f44a42bdc8a2600f53;European borders are being transformed into digital borders. The ambition behind the European information systems - like the Schengen Information System and Eurodac - is to establish a single Union information system to control the flux of migrants. We show that in this process information technology is not a neutral tool to reach established goals but that it is 'greedy'. This greediness indicates the distorting potential of information technology regarding the means-end logic. Our analysis suggests that the European migration policy is stuck in a 'digital fix', i.e. a technological fix focusing on ICT. We identify three political issues concerning greedy information technology within the context of the European migration policy. The first issue concerns the democratic control on information systems. The second issue discusses the weak legal position of immigrants. The third issue inquires into the effectiveness of information systems as a policy instrument. © Koninklijke Brill NV, Leiden, 2010.;"digital borders; European migration policy; illegal immigrants; information technology; Schengen information system";;;English;Eur. J. Migr. Law;Article
Schaper T., Chlistalla M.;"35096939300;35096051500;";Deriving a balanced scorecard for the European settlement industry;2009;15th Americas Conference on Information Systems 2009, AMCIS 2009;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870787550&partnerID=40&md5=f501786a4fc28baf10bbd3ce7461daa5;The European settlement industry is currently facing competition in cross-border securities settlement. In order to meet the new challenges, the management needs to identify its stakeholders and their interests and must define a clear strategy that includes financial and nonfinancial aims. We apply a stepwise approach to derive a Balanced Scorecard for this particular industry. To meet the specifics of the settlement industry, we adjust and extend the scorecard of Kaplan and Norton's original concept by introducing IT into the modified BSC and by documenting the need to consider important strategic projects. Furthermore, we outline our research model for the validation of these modifications. © (2009) by the AIS/ICIS Administrative Office All rights reserved.;;"Balanced scorecards; Cross-border; Research models; Stepwise approach; Industry; Information systems; Competition";;English;Amer. Conf. Inf. Sys., AMCIS;Conference Paper
Berglund E., Karbauskaite R.;"57197542962;15759405200;";Frontex perspectives on biometrics for border checks;2008;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);3;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873930693&partnerID=40&md5=c03cf594643949fd16b51a8199e51c5f;The European Union is developing new concepts for border management. Biometrics is seen is a key technology to facilitate more secure and convenient border management. Biometric information in the form of the facial image is already stored in the electronic passports, and from 2009 fingerprints will also be stored. Also from 2009, biometrics will be introduced in the Visa Information System (VIS). The VIS will store facial images and fingerprints of all visa applicants and a check against the stored data will be performed at the border crossing. The use of biometrics makes the concept of automated border crossing feasible. Frontex has studied such systems and found them to perform well. There are, however, several design issues that need to be addressed to make the systems more user friendly.;;"Biometric informations; Border crossings; Design issues; Electronic passports; European union; Facial images; Key technologies; User friendly; Visa information systems; Biometrics";;English;Lect. Notes Informatics (LNI), Proc. - Series Ges. Inform. (GI);Conference Paper
Baldaccini A.;"24167827500;";Counter-terrorism and the EU strategy for border security: Framing suspects with biometric documents and databases;2008;European Journal of Migration and Law;23;10.1163/138836407X261308;https://www.scopus.com/inward/record.uri?eid=2-s2.0-42949141615&doi=10.1163%2f138836407X261308&partnerID=40&md5=742aef1eab09a493649f58b545454741;This article examines the way in which the EU amd its Member States have approached border security issues since the terrorist attacks in the US on 11 September 2001. A key aspect of this approach has been to tighten control of borders and the safety of documents by the use of biometric systems. The new policies on border security and document security are resulting in the mass collection and storage of biometric data in relation to third-country nationals seeking entry into the territory of EU Member States, and in relation to EU nationals within the context of travel and identity documents. These developments are significant as the Union is considering the potential offered by biometrics not only for the effective management of borders but also for the prevention and combating of crime. © 2008 Martinus Nijhoff Publishers.;"Biometrics; Border control; Document security; Euodac; Information systems; SIS; VIS";;;English;Eur. J. Migr. Law;Review
Brouwer E.;"10539285300;";Digital borders and real rights: Effective remedies for third-country nationals in the Schengen information system;2008;Immigration and Asylum Law and Policy in Europe;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966774783&partnerID=40&md5=554829922643a28a5b6c0d8d02b0d28e;[No abstract available];;;Martinus Nijhoff Publishers;English;Immigr. Asylum Law Policy Eur.;Review
Stefanou C.;"56112161500;";The European criminal record: Political parameters;2008;Towards a European Criminal Record;;10.1017/CBO9780511495069.004;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927004727&doi=10.1017%2fCBO9780511495069.004&partnerID=40&md5=1e319793eb5b7ebd13a6b18f62f0876b;Introduction The idea behind the creation of a European Criminal Record was first put forward to the Commission in the political reviser’s Report of a Falcone Study on the use of national criminal records, completed in 2000. It was noted in that Report that the existing problems in judicial and enforcement agencies’ cooperation across the EU made the use of national criminal records as a means of combating organised crime rather problematic. It was pointed out that practical problems hindered the speed, access and effectiveness of existing methods of cooperation and the creation and use of an ECR was the way forward for the effective combating of organised crime. Of course, the idea of using databases as a means of combating crime is not new. Practically all enforcement agencies around the world use ‘files’ (in paper or digital form) on crimes, suspects and methods (modus operandi) in an attempt to prevent crime or prosecute criminals. In fact, in recent years digital databases such as the Schengen Information System (SIS) have become the first line of defence against transnational organised crime and plans to update and develop further the system into a SIS II are on the way. What makes the proposal for an ECR different is the idea of an EU-wide dedicated database which addresses the problem directly: in other words, a dedicated database which contains information extracted from national criminal records on selected crimes. © Cambridge University Press 2008 and Cambridge University Press, 2009.;;;Cambridge University Press;English;Towards a European Criminal Record;Book Chapter
Mitsilegas V.;"15759992900;";Databases in the area of freedom, security and justice: Lessons for the centralisation of records and their maximum exchange;2008;Towards a European Criminal Record;2;10.1017/CBO9780511495069.017;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909422433&doi=10.1017%2fCBO9780511495069.017&partnerID=40&md5=1dddc44237ed296829bef28891d9065f;Introduction A key element in the development of EU action in Justice and Home Affairs in recent years has been the creation of legal and technical mechanisms aiming to facilitate the collection, exchange and analysis of personal data. Steps in this direction have taken the form of initiatives aiming both at eliminating obstacles to the exchange of personal data between national authorities and at creating EU-wide structures and databases. The emphasis on developing EU-wide databases can be witnessed in both the immigration and asylum field (with the establishment of the EURODAC and Schengen Information System (SIS) databases and proposals to establish a Visa Information System (VIS) in the pipeline) and the criminal law/policing field (the Europol database and part of the SIS database being prime examples). Political reactions to terrorist attacks this decade have led to calls for increasingly linking these databases (notwithstanding their different purpose) and increasing their ‘interoperability’ – a strategy clearly visible in the 2004 Hague Programme, a five-year renewal of the EU Justice and Home Affairs strategy. The Hague Programme also calls for the further facilitation of bilateral information exchanges in the police field under the so-called ‘principle of availability’ and for the ‘deepening’ of surveillance by the use of biometrics in the various databases. © Cambridge University Press 2008 and Cambridge University Press, 2009.;;;Cambridge University Press;English;Towards a European Criminal Record;Book Chapter
Vogel B.;"8871953100;";Fresh thinking on border control;2007;Jane's Airport Review;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-37249084090&partnerID=40&md5=73ea24fd4571c1bb0f4dca487d2c01f1;Manufacturers are developing several biometric technologies for airports all over the world in order to improve security, since automated kiosks and gates perform the activity of verifying identity more effectively. Raytheon Intelligence and Information Systems has developed a biometric RFID-enabled smartcard called the Personal Authentication Device (PAD) that combines biometric fingerprint and RFID technology. The Australian government hopes to introduce a SmartGate access card program for air travelers. A large European airport is collaborating with a large US airport on issues of interoperability. Airlines and airport authorities could help by installing more biometric technology at border control points.;;;;English;Jane's Airport Rev.;Article
Smith K.;"57224650449;";Northrop Grumman opens UK demonstration facility;2007;Jane's Defence Weekly;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054876029&partnerID=40&md5=dc6ffcc76436268e4012dfa150aa5101;Northrop Grumman has opened a UK office facility and advanced technology demonstration center in Fareham, Hampshire. The new facility will provide improved accommodation for the company's Mission Systems Europe subsidiary and will include collaborative demonstration environment for planning, modeling and simulation of its advanced technology systems. Northrop Grumman's Mission Systems Europe is providing software and support services to the NATO C3 Agency for the Maritime command and Control information System programs and to the UK Ministry of Defence (MoD) and other international customers. The Fareham facility enable the company to demonstrate its range of technology systems for strategic to tactical military command and control, border security, urban resilience and critical infrastructure protection.;;;;English;Jane's Def. Weekly;Article
Smith K.;"57224650460;";Northrop Grumman opens UK facility;2007;Jane's Defence Industry;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847763262&partnerID=40&md5=c487f9d9576d12faf489fa0d1891a025;Northrop Grumman has opened a UK office facility and advanced technology demonstration center in Fareham, Hampshire. The new facility will provide improved accommodation for the company's Mission Systems Europe subsidiary and will include a state-of-the-art collaborative demonstration environment for planning, modeling and simulation of its advanced technology systems. Northrop Grummans Mission Systems Europe is providing software and support services to the NATO C3 Agency for the Maritime Command and Control Information System programs, and to the UK Ministry of Defence (MoD) and other international customers. The Fareham facility will enable Northrop Grumman to demonstrate its range of technology systems for strategic to tactical military command and control, border security, urban resilience and critical infrastructure protection.;;;;English;Jane's Def. Ind.;Article
